"","Country","assess_id_short","Year.x","CommName","Biomass","Catch","BvBmsy","FvFmsy","Dbase","SciName","IdLevel","SpeciesCat.x","Profits","MSY","Price","g","k","c","phi","itq","ivq","iq","turf"
"45","Pakistan","10232-FAO",2016,"Metapenaeus shrimps nei",31523.524,5043.866,0.418,3.956,"FAO","Metapenaeus spp","Neis",45,-5405129.258,3046.725,2418.474,0.04,19665.558,190839938.1,0.188,NA,NA,NA,NA
"46","Pakistan","10233-FAO",2016,"Mullets nei",40339.639,6235.453,0.481,3.788,"FAO","Mugilidae","Neis",33,-5716152.212,3425.519,1530.914,0.041,46127.464,173213771.4,0.188,NA,NA,NA,NA
"47","Pakistan","10235-FAO",2016,"Parapenaeopsis shrimps nei",74226.299,8708.657,0.329,2.768,"FAO","Parapenaeopsis spp","Neis",45,-13664877.62,9561.5,2418.474,0.042,255.635,564325461.7,0.188,NA,NA,NA,NA
"48","Pakistan","10236-FAO",2016,"Penaeus shrimps nei",30831.369,4320.099,0.402,3.444,"FAO","Penaeus spp","Neis",45,-6370639.635,3122.337,3336.556,0.041,44153.66,268018763,0.188,NA,NA,NA,NA
"49","Pakistan","10237-FAO",2016,"Pike-congers nei",159142.084,7950.583,1.07,1.193,"FAO","Muraenesox spp","Neis",34,3944337.995,6225.857,1007.417,0.042,161574.658,199797835,0.188,NA,NA,NA,NA
"50","Pakistan","10238-FAO",2016,"Porgies, seabreams nei",20012.952,2189.673,0.617,2.683,"FAO","Sparidae","Neis",33,-644626.221,1323.813,2377.498,0.041,7217.032,103929549.1,0.188,NA,NA,NA,NA
"51","Pakistan","10239-FAO",2016,"Rays, stingrays, mantas nei",92186.57,9437.008,0.924,2.484,"FAO","Rajiformes","Neis",38,1157103.74,4110.522,458.16,0.041,4899.687,61199517.32,0.188,NA,NA,NA,NA
"52","Benin","1024-FAO",2004,"Black seabream",4456.041,223,1.923,1.091,"FAO","Spondyliosoma cantharus","Species",33,489186.849,106.272,2847.467,0.046,5791.939,7154675.107,0.188,NA,NA,NA,NA
"53","Pakistan","10241-FAO",2016,"Requiem sharks nei",105184.173,5789.78,0.897,4,"FAO","Carcharhinidae","Neis",38,555872.844,1612.843,740.373,0.014,25017.883,161794067.7,0.188,NA,NA,NA,NA
"54","Pakistan","10242-FAO",1995,"Sawfishes",177.751,23,1.124,3.113,"FAO","Pristidae","Species",38,5828.447,6.574,548.726,0.042,395.389,96944.482,0.188,NA,NA,NA,NA
"55","Pakistan","10244-FAO",2016,"Sea catfishes nei",96490.468,12594.681,0.486,3.133,"FAO","Ariidae","Neis",33,-16145911.77,8262.957,2604.929,0.042,15879.326,692474256.7,0.188,NA,NA,NA,NA
"56","Pakistan","10245-FAO",2016,"Sillago-whitings",3286.079,344.862,0.566,2.642,"FAO","Sillaginidae","Species",33,-115735.223,230.756,1530.914,0.04,14523.408,12061994.03,0.188,NA,NA,NA,NA
"57","Pakistan","10249-FAO",2016,"Threadfin breams nei",162942.496,9829.686,1.017,0.712,"FAO","Nemipterus spp","Neis",33,8159603.718,13568.63,1530.914,0.085,243047.241,264829911.6,0.188,NA,NA,NA,NA
"58","Pakistan","10250-FAO",2016,"Tonguefishes",11661.382,1067.651,0.529,2.313,"FAO","Cynoglossidae","Species",31,231177.929,872.039,1537.779,0.04,55068.654,31566828.23,0.188,NA,NA,NA,NA
"59","Pakistan","10252-FAO",2016,"Tropical spiny lobsters nei",8206.085,1202.753,0.377,3.623,"FAO","Panulirus spp","Neis",43,-4878573.799,880.384,13883.656,0.04,10350.151,261976521.3,0.188,NA,NA,NA,NA
"60","Palau","10264-FAO",2016,"Groupers nei",67.985,9.239,0.524,3.32,"FAO","Epinephelus spp","Neis",33,-10595.505,5.31,2803.109,0.041,8391.131,488893.805,0.188,NA,NA,NA,NA
"61","Palau","10266-FAO",2016,"Indo-Pacific swamp crab",67.78,1.599,0.881,0.567,"FAO","Scylla serrata","Species",42,2305.803,3.199,2848.514,0.042,192.422,293337.504,0.188,NA,NA,NA,NA
"62","Benin","1027-FAO",2007,"Boe drum",950.192,100,0.884,2.501,"FAO","Pteroscion peli","Species",33,83823.515,45.246,2335.514,0.042,2688.497,2795488.216,0.188,NA,NA,NA,NA
"63","Palau","10271-FAO",1996,"Milkfish",40.698,1,1.44,0.531,"FAO","Chanos chanos","Species",25,742.765,1.308,986.405,0.046,70.64,30143.706,0.188,NA,NA,NA,NA
"64","Palau","10276-FAO",2016,"Parrotfishes nei",8.269,1.154,0.798,3.473,"FAO","Scaridae","Neis",33,108.221,0.417,1530.914,0.04,3451.529,21446.814,0.188,NA,NA,NA,NA
"65","Palau","10282-FAO",2016,"Surgeonfishes nei",320.431,33.998,1.156,2.22,"FAO","Acanthuridae","Neis",33,22580.084,13.247,1530.914,0.048,4950.749,543084.672,0.188,NA,NA,NA,NA
"66","Benin","1029-FAO",2007,"Bonga shad",83.117,10,1.075,2.157,"FAO","Ethmalosa fimbriata","Species",35,4876.67,3.235,784.099,0.042,193.311,67599.648,0.188,NA,NA,NA,NA
"67","Palestine","10291-FAO",2016,"Bogue",180.422,26.629,0.543,3.655,"FAO","Boops boops","Species",33,-25406.452,13.428,2377.498,0.04,831.426,1067128.029,0.188,NA,NA,NA,NA
"68","Palestine","10293-FAO",2016,"Common squids nei",1964.107,169.291,1.622,1.177,"FAO","Loligo spp","Neis",57,159218.747,88.704,1411.427,0.072,367871.982,1967976.322,0.188,NA,NA,NA,NA
"69","Palestine","10296-FAO",2016,"Groupers nei",67.985,9.239,0.524,3.32,"FAO","Epinephelus spp","Neis",33,-10595.505,5.31,2803.109,0.041,8391.131,488893.805,0.188,NA,NA,NA,NA
"70","Palestine","10297-FAO",2016,"Guitarfishes, etc. nei",12.836,2.142,0.639,3.999,"FAO","Rhinobatidae","Neis",38,-217.137,0.837,458.16,0.042,31653.191,12290.513,0.188,NA,NA,NA,NA
"71","Palestine","10300-FAO",2016,"Lizardfishes nei",64.115,13.685,0.79,2.035,"FAO","Synodontidae","Neis",33,4035.302,8.516,1530.914,0.105,75784.543,125919.337,0.188,NA,NA,NA,NA
"72","Palestine","10301-FAO",2016,"Marine crabs nei",5517.897,419.493,0.819,1.777,"FAO","Brachyura","Neis",42,301252.396,288.367,2848.514,0.041,36803.342,26615551.47,0.188,NA,NA,NA,NA
"73","Palestine","10303-FAO",2016,"Meagre",18.68,0.828,0.321,3.276,"FAO","Argyrosomus regius","Species",33,-1338.581,0.786,1254.99,0.014,145.268,136627.581,0.188,NA,NA,NA,NA
"74","Palestine","10304-FAO",2016,"Mullets nei",64.306,9.94,0.481,3.788,"FAO","Mugilidae","Neis",33,-9112.198,5.461,1530.914,0.041,46127.464,276122.505,0.188,NA,NA,NA,NA
"75","Palestine","10305-FAO",2016,"Natantian decapods nei",895.185,123.15,0.405,3.366,"FAO","Natantia","Neis",45,-156527.361,90.364,3018.868,0.041,40826.228,7016140.938,0.188,NA,NA,NA,NA
"76","Palestine","10306-FAO",2016,"Rays, stingrays, mantas nei",25.779,2.639,0.924,2.484,"FAO","Rajiformes","Neis",38,323.575,1.149,458.16,0.041,4899.687,17113.959,0.188,NA,NA,NA,NA
"77","Palestine","10307-FAO",2016,"Red porgy",47.41,1.375,0.679,0.705,"FAO","Pagrus pagrus","Species",33,1033.636,2.872,2377.498,0.041,174.648,222936.198,0.188,NA,NA,NA,NA
"78","Palestine","10308-FAO",2016,"Sardinellas nei",9787.832,683.321,0.574,1.681,"FAO","Sardinella spp","Neis",35,31382.39,707.848,302.74,0.042,330683.511,5587004.159,0.188,NA,NA,NA,NA
"79","Palestine","10309-FAO",2016,"Sargo breams nei",39.583,4.77,0.696,2.897,"FAO","Diplodus spp","Neis",33,-212.232,2.365,2377.498,0.042,8510.637,181038.204,0.188,NA,NA,NA,NA
"80","Palestine","10310-FAO",2016,"Smooth-hounds nei",52.354,3.338,1.155,1.535,"FAO","Mustelus spp","Neis",38,1217.177,1.883,740.373,0.042,12960.986,44854.442,0.188,NA,NA,NA,NA
"81","Palestine","10312-FAO",2016,"Surmullets(=Red mullets) nei",105.804,24.391,0.624,2.181,"FAO","Mullus spp","Neis",33,3178.595,17.911,832.061,0.106,9110.885,115345.465,0.188,NA,NA,NA,NA
"82","Panama","10346-FAO",2016,"Clams, etc. nei",2319.494,240.62,0.403,2.514,"FAO","Bivalvia","Neis",56,-133814.002,237.509,810.262,0.041,91166.866,6367172.869,0.188,NA,NA,NA,NA
"83","Panama","10349-FAO",2016,"Croakers, drums nei",18845.84,2134.374,0.519,2.76,"FAO","Sciaenidae","Neis",33,-924866.97,1488.66,1254.99,0.041,31988.715,61007648.12,0.188,NA,NA,NA,NA
"84","Panama","10350-FAO",2016,"Crystal shrimp",14590.281,498.829,0.41,0.908,"FAO","Penaeus brevirostris","Species",45,87812.4,1339.987,3336.556,0.038,88976.67,126956710.7,0.188,NA,NA,NA,NA
"85","Benin","1036-FAO",2016,"Dentex nei",2347.675,89.249,0.547,2.826,"FAO","Dentex spp","Neis",33,-61016.594,57.781,2377.498,0.013,17771.733,19175962.68,0.188,NA,NA,NA,NA
"86","Panama","10373-FAO",2016,"Marine worms",1356.467,58.377,1.821,0.575,"FAO","Polychaeta","Species",77,12120.408,55.726,273.101,0.075,1862.495,228220.578,0.188,NA,NA,NA,NA
"87","Panama","10379-FAO",2016,"Pacific anchoveta",545936.675,34053.396,0.562,1.631,"FAO","Cetengraulis mysticetus","Species",35,-1816460.081,37121.133,869.746,0.038,2427249.977,1158455983,0.188,NA,NA,NA,NA
"88","Benin","1038-FAO",2016,"Flatfishes nei",318.049,37.848,0.385,2.829,"FAO","Pleuronectiformes","Neis",31,-19416.905,34.717,2019.289,0.041,17868.177,1590411.689,0.188,NA,NA,NA,NA
"89","Panama","10382-FAO",2016,"Pacific thread herring",186689.151,24882.509,0.966,1.202,"FAO","Opisthonema libertate","Species",35,3165703.99,21413.466,291.45,0.111,482922.275,56120742.36,0.188,NA,NA,NA,NA
"90","Panama","10389-FAO",2016,"Penaeus shrimps nei",4004.074,561.052,0.402,3.444,"FAO","Penaeus spp","Neis",45,-827355.797,405.498,3336.556,0.041,44153.66,34807631.56,0.188,NA,NA,NA,NA
"91","Panama","10404-FAO",2016,"Snappers, jobfishes nei",10981.729,1482.305,0.511,3.268,"FAO","Lutjanidae","Neis",33,-1846459.554,887.563,2839.754,0.041,9508.468,81905549.58,0.188,NA,NA,NA,NA
"92","Benin","1041-FAO",2016,"Giant African threadfin",49.816,4.923,0.869,0.892,"FAO","Polydactylus quadrifilis","Species",33,3218.765,6.345,1530.914,0.111,143.269,87487.082,0.188,NA,NA,NA,NA
"93","Panama","10416-FAO",2016,"Tropical spiny lobsters nei",309.539,45.369,0.377,3.623,"FAO","Panulirus spp","Neis",43,-184023.249,33.209,13883.656,0.04,10350.151,9881939.407,0.188,NA,NA,NA,NA
"94","Benin","1042-FAO",2016,"Groupers nei",4079.125,554.321,0.524,3.32,"FAO","Epinephelus spp","Neis",33,-635730.33,318.595,2803.109,0.041,8391.131,29333628.27,0.188,NA,NA,NA,NA
"95","Papua New Guinea","10436-FAO",2016,"Banana prawn",4802.228,325.066,0.5,1.722,"FAO","Penaeus merguiensis","Species",45,63279.86,377.892,3336.556,0.039,24029.091,33843483.13,0.188,NA,NA,NA,NA
"96","Papua New Guinea","10437-FAO",2016,"Barramundi(=Giant seaperch)",3086.339,44.735,0.919,0.434,"FAO","Lates calcarifer","Species",25,16674.998,112.227,661.064,0.033,8391.793,3169203.974,0.188,NA,NA,NA,NA
"97","Papua New Guinea","10441-FAO",2016,"Giant tiger prawn",1823.439,168.492,0.766,2.316,"FAO","Penaeus monodon","Species",45,184495.473,95.012,3336.556,0.04,5954.99,8351002.865,0.188,NA,NA,NA,NA
"98","Papua New Guinea","10442-FAO",2016,"Indo-Pacific swamp crab",251.863,1.527,0.594,0.162,"FAO","Scylla serrata","Species",42,2164.955,15.877,2848.514,0.037,1059.894,1667066.723,0.188,NA,NA,NA,NA
"99","Papua New Guinea","10446-FAO",2016,"Metapenaeus shrimps nei",352.875,56.461,0.418,3.956,"FAO","Metapenaeus spp","Neis",45,-60505.178,34.105,2418.474,0.04,19665.558,2136267.964,0.188,NA,NA,NA,NA
"100","Papua New Guinea","10447-FAO",2016,"Natantian decapods nei",867.427,119.331,0.405,3.366,"FAO","Natantia","Neis",45,-151673.799,87.562,3018.868,0.041,40826.228,6798586.18,0.188,NA,NA,NA,NA
"101","Papua New Guinea","10453-FAO",2016,"Tropical spiny lobsters nei",493.946,72.397,0.377,3.623,"FAO","Panulirus spp","Neis",43,-293654.121,52.993,13883.656,0.04,10350.151,15769052.25,0.188,NA,NA,NA,NA
"102","Peru","10455-FAO",1958,"Anchoveta(=Peruvian anchovy)",799344.088,739100,1.234,6.382,"FAO","Engraulis ringens","Species",35,499475508.7,70411.4,1041.672,0.109,1620059.696,435216346.4,0.188,NA,NA,NA,NA
"103","Peru","10456-FAO",2016,"Cabinza grunt",22395.013,2249.863,0.632,2.385,"FAO","Isacia conceptionis","Species",33,-202582.865,1493.691,1530.914,0.042,88640.813,72330474.12,0.188,NA,NA,NA,NA
"104","Peru","10458-FAO",2016,"Cholga mussel",65344.459,7565.902,0.4,2.959,"FAO","Aulacomya ater","Species",54,98222.038,6394.603,467.36,0.039,408613.898,56693143.44,0.188,NA,NA,NA,NA
"105","Peru","10460-FAO",2016,"Clams, etc. nei",5621.448,583.159,0.403,2.514,"FAO","Bivalvia","Neis",56,-324307.182,575.618,810.262,0.041,91166.866,15431269.28,0.188,NA,NA,NA,NA
"106","Peru","10462-FAO",2016,"Corvina drum",68584.501,1074.35,0.497,0.421,"FAO","Cilus gilberti","Species",33,420520.303,5130.647,1950.042,0.037,344761.387,371955812.6,0.188,NA,NA,NA,NA
"107","Peru","10463-FAO",2016,"Croakers nei",908.653,38.169,0.86,2.067,"FAO","Micropogonias spp","Neis",33,23521.234,21.48,1551.697,0.02,278194.267,2199796.953,0.188,NA,NA,NA,NA
"108","Peru","10464-FAO",2016,"Cusk-eels nei",10523.805,705.074,0.783,1.345,"FAO","Genypterus spp","Neis",34,289350.922,669.628,1462.44,0.05,91286.719,24905928.94,0.188,NA,NA,NA,NA
"109","Peru","10466-FAO",2016,"Echinoderms",83716.317,5733.991,1.741,1.038,"FAO","Echinodermata","Species",76,1097224.425,3174.45,273.101,0.066,120234.933,15296359.98,0.188,NA,NA,NA,NA
"110","Peru","10467-FAO",2016,"False abalone",14677.042,1291.69,0.628,2.191,"FAO","Concholepas concholepas","Species",52,-55793.794,938.912,1130.048,0.04,58430.986,35700178.85,0.188,NA,NA,NA,NA
"111","Peru","10468-FAO",2016,"Flatfishes nei",6215.584,739.664,0.385,2.829,"FAO","Pleuronectiformes","Neis",31,-379461.809,678.464,2019.289,0.041,17868.177,31081188.44,0.188,NA,NA,NA,NA
"112","Benin","1047-FAO",2016,"Hammerhead sharks, etc. nei",3492.165,187.482,0.805,4,"FAO","Sphyrnidae","Neis",38,36929.817,58.23,915.413,0.013,761.196,6032850.883,0.188,NA,NA,NA,NA
"113","Peru","10470-FAO",2016,"Gastropods nei",74339.22,4205.267,0.826,1.285,"FAO","Gastropoda","Neis",52,1556015.67,3960.266,1130.048,0.041,14857.488,145184387.8,0.188,NA,NA,NA,NA
"114","Peru","10471-FAO",2007,"Green spiny lobster",495.746,2,0.39,0.101,"FAO","Panulirus gracilis","Species",43,21406.786,50.773,16628.091,0.04,3177.841,15353051.62,0.188,NA,NA,NA,NA
"115","Peru","10472-FAO",2016,"Groupers nei",3229.308,438.838,0.524,3.32,"FAO","Epinephelus spp","Neis",33,-503286.511,252.221,2803.109,0.041,8391.131,23222455.71,0.188,NA,NA,NA,NA
"116","Peru","10475-FAO",2016,"Jumbo flying squid",12947994.55,1139638.563,1.68,1.556,"FAO","Dosidicus gigas","Species",57,856061061.8,436153.937,1156.187,0.057,19273438,10871965280,0.188,NA,NA,NA,NA
"117","Peru","10476-FAO",2011,"Longnose anchovy",381852.398,3520,0.659,0.171,"FAO","Anchoa nasus","Species",35,2610087.707,23389.051,1041.672,0.04,1447681.184,679654306.4,0.188,NA,NA,NA,NA
"118","Peru","10477-FAO",1998,"Macha clam",34797.495,578,1.483,0.295,"FAO","Mesodesma donacium","Species",56,448109.437,1322.175,970.43,0.056,58660.302,23217272.89,0.188,NA,NA,NA,NA
"119","Peru","10478-FAO",2016,"Marine crabs nei",50203.187,3816.651,0.819,1.777,"FAO","Brachyura","Neis",42,2740868.287,2623.631,2848.514,0.041,36803.342,242154824.4,0.188,NA,NA,NA,NA
"120","Peru","10482-FAO",2016,"Mullets nei",92194.996,14250.935,0.481,3.788,"FAO","Mugilidae","Neis",33,-13064088.89,7828.918,1530.914,0.041,46127.464,395874711.5,0.188,NA,NA,NA,NA
"121","Peru","10483-FAO",2016,"Octopuses, etc. nei",110378.09,6566.2,1.504,0.987,"FAO","Octopodidae","Neis",57,12011952.28,4421.16,2777.255,0.06,86403.388,243429962.2,0.188,NA,NA,NA,NA
"122","Peru","10484-FAO",2016,"Pacific angelshark",12186.08,54.2,0.945,0.343,"FAO","Squatina californica","Species",38,24247.888,167.295,740.373,0.013,32253.533,18125108.35,0.188,NA,NA,NA,NA
"123","Peru","10485-FAO",2016,"Pacific guitarfish",23122.202,1134.882,0.967,1.384,"FAO","Rhinobatos planiceps","Species",38,214602.229,847.3,458.16,0.035,59753.985,15367666.23,0.188,NA,NA,NA,NA
"124","Peru","10486-FAO",2016,"Pacific menhaden",95975.064,3773.329,0.613,1.093,"FAO","Ethmidium maculatum","Species",35,88506.247,5636.126,172.417,0.036,391707.894,37745099.61,0.188,NA,NA,NA,NA
"125","Peru","10488-FAO",2016,"Patagonian squid",520090.291,45619.261,1.673,1.946,"FAO","Loligo gahi","Species",57,40168871.76,14011.093,1411.427,0.045,777253.236,573024222.9,0.188,NA,NA,NA,NA
