"","Country","programstart","SciName","turf"
"45","Chile","1991","Thais chocolata",TRUE
"46","Chile","1991","Concholepas concholepas",TRUE
"47","Chile","1991","Mazzaella laminariodes",TRUE
"48","Chile","1991","Sarcothalia crispata",TRUE
"49","Chile","1991","Gigartina skottsbergii",TRUE
"50","Chile","1991","Mesodesma donacium",TRUE
"51","Chile","1991","Opisthonema oglinum",TRUE
"52","Chile","1991","Ensis macha",TRUE
"53","Chile","1991","Tagelus dombeii",TRUE
"54","Chile","1991","Argopecten purpuratus",TRUE
"55","Chile","1991","Chlamys vitrea",TRUE
"56","Chile","1991","Gracilaria chilensis",TRUE
"57","Chile","1991","Austromegabalanus psittacus",TRUE
"58","Chile","1991","Odontocymbiola magallanica",TRUE
"59","Chile","1991","Pyura chilensis",TRUE
"60","Chile","1991","Enteroctopus megalocyathus",TRUE
"61","Chile","1991","Octopus mimus",TRUE
"62","Chile","1991","Brama australis",TRUE
"63","Chile","1991","Sprattus fuegensis",TRUE
"64","Chile","1991","Pecten maximus",TRUE
"65","Chile","1991","Mulinia spp",TRUE
"66","Chile","1991","Mulinia edulis",TRUE
"67","Fiji","1942","NA",TRUE
"68","Fiji","1942","NA",TRUE
"69","Fiji","1942","NA",TRUE
"70","Fiji","1942","NA",TRUE
"71","Fiji","1942","NA",TRUE
"72","Fiji","1942","NA",TRUE
"73","Fiji","1942","NA",TRUE
"74","Fiji","1942","NA",TRUE
"75","Fiji","1942","NA",TRUE
"76","Fiji","1942","NA",TRUE
"77","Italy","1996","Ensis minor",TRUE
"78","Italy","1996","Callista chione",TRUE
"79","Italy","1996","Venus verrucosa",TRUE
"80","Italy","1996","Donax trunculus",TRUE
"81","Italy","1996","Chamelea gallina",TRUE
"82","Italy","1996","Venerupis aurea",TRUE
"83","Italy","1996","Tapes decussatus",TRUE
"84","Japan","1949","Haliotis spp",TRUE
"85","Japan","1949","Scomber japonicus",TRUE
"86","Japan","1949","Todarodes pacificus",TRUE
"87","Japan","1949","Trachurus japonicus",TRUE
"88","Japan","1949","Cololabis saira",TRUE
"89","Japan","1949","Chionoecetes japonicus",TRUE
"90","Japan","1949","Ammodytes personatus",TRUE
"91","Japan","1949","Arctoscopus japonicas",TRUE
"92","Japan","1949","Sardinops melanostictus",TRUE
"93","Japan","1949","Sergia lucens",TRUE
"94","Japan","1949","Theragra chalcogramma",TRUE
"95","Japan","1949","Theragra chalcogramma",TRUE
"96","Japan","1949","Seriola quinqueradiata",TRUE
"97","Mexico","2003","Panopea globosa",TRUE
"98","Mexico","1992","Haliotis corrugata",TRUE
"99","Mexico","1992","Haliotis fulgens",TRUE
"100","Mexico","1992","Astraea turbanica",TRUE
"101","Mexico","1992","Astraea undosa",TRUE
"102","Mexico","1992","Panulirus interruptus",TRUE
"103","Mexico","1976","Atrina tuberculosa",TRUE
"104","Mexico","1976","Pinna rugosa",TRUE
"105","Mexico","1969","Panulirus argus",TRUE
"106","Papua New Guinea","NA","NA",TRUE
"107","Papua New Guinea","NA","NA",TRUE
"108","Papua New Guinea","NA","NA",TRUE
"109","Papua New Guinea","NA","NA",TRUE
"110","Papua New Guinea","NA","NA",TRUE
"111","Papua New Guinea","NA","NA",TRUE
"112","Papua New Guinea","NA","NA",TRUE
"113","Papua New Guinea","NA","NA",TRUE
"114","Papua New Guinea","NA","NA",TRUE
"115","Papua New Guinea","NA","NA",TRUE
"116","Samoa","1988","NA",TRUE
"117","Samoa","1988","NA",TRUE
"118","Samoa","1988","NA",TRUE
"119","Samoa","1988","NA",TRUE
"120","Samoa","1988","NA",TRUE
"121","Samoa","1988","NA",TRUE
"122","Samoa","1988","NA",TRUE
"123","Samoa","1988","NA",TRUE
"124","Samoa","1988","NA",TRUE
"125","Samoa","1988","NA",TRUE
"126","Solomon Islands","NA","NA",TRUE
"127","Solomon Islands","NA","NA",TRUE
"128","Solomon Islands","NA","NA",TRUE
"129","Solomon Islands","NA","NA",TRUE
"130","Solomon Islands","NA","NA",TRUE
"131","Solomon Islands","NA","NA",TRUE
"132","Solomon Islands","NA","NA",TRUE
"133","Solomon Islands","NA","NA",TRUE
"134","Solomon Islands","NA","NA",TRUE
"135","Solomon Islands","NA","NA",TRUE
"136","Spain","1992","Pollicipes pollicipes",TRUE
"137","Sri Lanka","NA","Penaeus semisulcatus",TRUE
"138","Sri Lanka","NA","Metapenaeus dobsoni",TRUE
"139","Sri Lanka","NA","Metapenaeus moyebi",TRUE
"140","Sri Lanka","NA","Penaeus indicus",TRUE
"141","Sweden","2004","Pandalus borealis",TRUE
"142","Vanuatu","NA","NA",TRUE
"143","Vanuatu","NA","NA",TRUE
"144","Vanuatu","NA","NA",TRUE
"145","Vanuatu","NA","NA",TRUE
"146","Vanuatu","NA","NA",TRUE
"147","Vanuatu","NA","NA",TRUE
"148","Vanuatu","NA","NA",TRUE
"149","Vanuatu","NA","NA",TRUE
"150","Vanuatu","NA","NA",TRUE
"151","Vanuatu","NA","NA",TRUE
"152","Vietnam","1997","Meretrix lyrata",TRUE
"153","American Samoa",NA,"NA",TRUE
"154","Australia",NA,"Penaeus merguinsis",TRUE
"155","Australia",NA,"Penaeus latisulcatus",TRUE
"156","Australia",NA,"Penaeus esculentu",TRUE
"157","Australia",NA,"Metapenaeus endeavours",TRUE
"158","Australia",NA,"Trachypenaeus sp.",TRUE
"159","Belize",NA,"Panulirus argus",TRUE
"160","Belize",NA,"Panulirus spp",TRUE
"161","Brazil",NA,"NA",TRUE
"162","Canada",NA,"Chionoecetes opilio",TRUE
"163","Chile",NA,"Sea squirt",TRUE
"164","Ecuador",NA,"Anadara tuberculos",TRUE
"165","Ecuador",NA,"Anadara similis",TRUE
"166","Fiji",NA,"Holothurian",TRUE
"167","Fiji",NA,"Tripneustes gratilla",TRUE
"168","Fiji",NA,"Anadara antiquat",TRUE
"169","Fiji",NA,"Lambis lambis",TRUE
"170","Fiji",NA,"Cypraea tigris",TRUE
"171","Fiji",NA,"Lenthrinus harak",TRUE
"172","Fiji",NA,"Lethrinus atsinkoni",TRUE
"173","Fiji",NA,"Peneaus indicus",TRUE
"174","France",NA,"Scorpaena scrofa",TRUE
"175","France",NA,"Scorpaena spp",TRUE
"176","France",NA,"Dentex dentex",TRUE
"177","France",NA,"Diplodus spp",TRUE
"178","France",NA,"Pagellus spp",TRUE
"179","France",NA,"Pagrus pagrus",TRUE
"180","France",NA,"Sarpa salpa",TRUE
"181","France",NA,"Sparus aurata",TRUE
"182","France",NA,"Spondyliosoma cantharus",TRUE
"183","France",NA,"Laburs spp",TRUE
"184","France",NA,"Symphodus spp",TRUE
"185","France",NA,"Trachinus spp.",TRUE
"186","France",NA,"Uranoscopus scaber",TRUE
"187","France",NA,"Serranus spp.",TRUE
"188","France",NA,"Mullus surmuletus",TRUE
"189","France",NA,"Palinurus elaphas",TRUE
"190","France",NA,"Dicentrarchus labrax",TRUE
"191","France",NA,"Mugilidae spp.",TRUE
"192","France",NA,"Mullus barbatus",TRUE
"193","France",NA,"Scorpaena notata",TRUE
"194","France",NA,"Scorpaena porcus",TRUE
"195","France",NA,"Serranus scriba",TRUE
"196","France",NA,"Serranus cabrilla",TRUE
"197","France",NA,"Merluccius merluccius",TRUE
"198","France",NA,"Solea solea",TRUE
"199","France",NA,"Solea aegyptiaca",TRUE
"200","France",NA,"Conger conger",TRUE
"201","France",NA,"Sepia officinalis",TRUE
"202","Greece",NA,"Sparus aurata",TRUE
"203","Greece",NA,"Dicentrarchus labrax",TRUE
"204","Greece",NA,"Mugil cephalus",TRUE
"205","Greece",NA,"Liza ramada",TRUE
"206","Greece",NA,"Liza aurata",TRUE
"207","Greece",NA,"Liza saliens",TRUE
"208","Greece",NA,"Anguilla anguilla",TRUE
"209","India",NA,"Penaeus monodon",TRUE
"210","India",NA,"Penaeus indicus",TRUE
"211","India",NA,"Metapenaeus dobsoni",TRUE
"212","India",NA,"Metapenaeus monoceros",TRUE
"213","India",NA,"Paeneus indicus",TRUE
"214","Japan",NA,"Sandeel",TRUE
"215","Japan",NA,"Sea cucumbers",TRUE
"216","Japan",NA,"Haliotis ruber",TRUE
"217","Japan",NA,"Haliotis discus",TRUE
"218","Japan",NA,"Meretrix lusoria",TRUE
"219","Japan",NA,"Pseudocardium sachalinense",TRUE
"220","Japan",NA,"Clam spp",TRUE
"221","Mexico",NA,"Callinectes bellicosus",TRUE
"222","Mexico",NA,"Mycteroperca rosacea",TRUE
"223","Mexico",NA,"Paralabrax maculotofasciatum",TRUE
"224","Mexico",NA,"Balistes polilepsis",TRUE
"225","Mexico",NA,"Spondylus calcifer",TRUE
"226","Netherlands",NA,"Mullet spp",TRUE
"227","Netherlands",NA,"Smelt spp",TRUE
"228","Netherlands",NA,"Mackerel",TRUE
"229","Netherlands",NA,"Sprat spp",TRUE
"230","Netherlands",NA,"Sea bass spp",TRUE
"231","Netherlands",NA,"Razor clams",TRUE
"232","Netherlands",NA,"Japanese oysters",TRUE
"233","Netherlands",NA,"Anchovies spp",TRUE
"234","Netherlands",NA,"Clam spp",TRUE
"235","New Zealand",NA,"NA",TRUE
"236","Nigeria",NA,"NA",TRUE
"237","Philippines",NA,"Latidae",TRUE
"238","Philippines",NA,"Anodontostoma chacunda",TRUE
"239","Philippines",NA,"Centropomidae",TRUE
"240","Philippines",NA,"Lutjanid spp",TRUE
"241","Philippines",NA,"Serranid spp",TRUE
"242","Philippines",NA,"Pomacentridae",TRUE
"243","Philippines",NA,"Atherinidae",TRUE
"244","Spain",NA,"Octopus vulgaris",TRUE
"245","Spain",NA,"Maja ssquinado",TRUE
"246","Spain",NA,"Necora puber",TRUE
"247","Spain",NA,"Palaemon serratus",TRUE
"248","Spain",NA,"Paracemtrotus lividus",TRUE
"249","Sri Lanka",NA,"NA",TRUE
"250","St Lucia",NA,"NA",TRUE
"251","United States",NA,"Callinectes sapidus",TRUE
"252","United States",NA,"Oncorhynchus tshawytscha",TRUE
"253","United States",NA,"Oncorhynchus kisutch",TRUE
"254","United States",NA,"Oncorhynchus keta",TRUE
"255","United States",NA,"Oncorhynchus nerka",TRUE
"256","United States",NA,"Oncorhynchus mykiss",TRUE
"257","United States",NA,"Oncorhynchus gorbuscha",TRUE
"258","United States",NA,"Clam spp",TRUE
"259","United States",NA,"Oyster spp",TRUE
"260","United States",NA,"Panopea generosa",TRUE
"261","United States",NA,"Metacarcinus magister",TRUE
"262","United Kingdom",NA,"Scallop spp",TRUE
"263","United Kingdom",NA,"Mytilus edulis",TRUE
"264","United Kingdom",NA,"Oyster spp",TRUE
"265","United Kingdom",NA,"Ostrea edulis",TRUE
"266","United Kingdom",NA,"Crassostrea gigas",TRUE
"267","Vanuatu",NA,"Reef fish",TRUE
"268","Vanuatu",NA,"Trochus spp",TRUE
"269","Vanuatu",NA,"Sea cucumber",TRUE
"270","Vanuatu",NA,"Octopus spp",TRUE
"271","Vanuatu",NA,"Shellfish spp",TRUE
"272","Vanuatu",NA,"Clamshell spp",TRUE
"273","Vanuatu",NA,"Papustyla pulcherrima",TRUE
"274","Vanuatu",NA,"Birgus latro",TRUE
"275","Vietnam",NA,"Meretix lyrata",TRUE
"276","Vietnam",NA,"Penaeus monodon",TRUE
"277","Vietnam",NA,"Penaeus semisulcatus",TRUE
"278","Vietnam",NA,"Metapenaeus ensis",TRUE
"279","Vietnam",NA,"Scylla serrata",TRUE
"280","Vietnam",NA,"Portunus pelagicus",TRUE
"281","Vietnam",NA,"Portunus sanguinolentus",TRUE
"282","Vietnam",NA,"Siganus spp",TRUE
"283","Vietnam",NA,"Gerres filamentosus",TRUE
"284","Vietnam",NA,"Glossogobius giuris",TRUE
"285","Vietnam",NA,"Therapon theraps",TRUE
