SciName,Country,programstart,itq_now,iq,itq,ivq,turf,SpeciesCat
Gadus macrocephalus,USA,2007,0,FALSE,FALSE,FALSE,FALSE,32
Gadus macrocephalus,USA,2007,1,FALSE,FALSE,FALSE,FALSE,32
Gadus morhua,USA,2010,1,FALSE,FALSE,FALSE,FALSE,32
Gadus morhua,USA,2010,0,FALSE,FALSE,FALSE,FALSE,32
Macruronus magellanicus,Argentina,2010,0,FALSE,FALSE,TRUE,FALSE,32
Macruronus magellanicus,Argentina,2010,1,FALSE,FALSE,TRUE,FALSE,32
Macruronus novaezelandiae,Australia,1992,0,FALSE,TRUE,FALSE,FALSE,32
Macruronus novaezelandiae,Australia,1992,1,FALSE,TRUE,FALSE,FALSE,32
Melanogrammus aeglefinus,USA,2010,0,FALSE,FALSE,FALSE,FALSE,32
Melanogrammus aeglefinus,USA,2010,1,FALSE,FALSE,FALSE,FALSE,32
Merluccius hubbsi,Argentina,2010,1,FALSE,FALSE,TRUE,FALSE,32
Merluccius hubbsi,Argentina,2010,0,FALSE,FALSE,TRUE,FALSE,32
Merluccius merluccius,France,NA,0,FALSE,FALSE,FALSE,TRUE,32
Micromesistius australis,Argentina,2010,1,FALSE,FALSE,TRUE,FALSE,32
Micromesistius australis,Argentina,2010,0,FALSE,FALSE,TRUE,FALSE,32
Pollachius virens,USA,2010,1,FALSE,FALSE,FALSE,FALSE,32
Pollachius virens,USA,2010,0,FALSE,FALSE,FALSE,FALSE,32
Theragra chalcogramma,USA,1999,1,FALSE,FALSE,FALSE,FALSE,32
Theragra chalcogramma,Japan,1949,0,FALSE,FALSE,FALSE,TRUE,32
Theragra chalcogramma,USA,1999,0,FALSE,FALSE,FALSE,FALSE,32
Ammodytes personatus,Japan,1949,0,FALSE,FALSE,FALSE,TRUE,33
Centropomidae,Philippines,NA,0,FALSE,FALSE,FALSE,TRUE,33
Chrysophrys auratus,Australia,1992,0,FALSE,TRUE,FALSE,FALSE,33
Chrysophrys auratus,New Zealand,1986,0,FALSE,TRUE,FALSE,FALSE,33
Dentex dentex,France,NA,0,FALSE,FALSE,FALSE,TRUE,33
Dicentrarchus labrax,Greece,NA,0,FALSE,FALSE,FALSE,TRUE,33
Dicentrarchus labrax,France,NA,0,FALSE,FALSE,FALSE,TRUE,33
Diplodus spp,France,NA,0,FALSE,FALSE,FALSE,TRUE,33
Epinephelus flavolimbatus,USA,2010,0,FALSE,TRUE,FALSE,FALSE,33
Epinephelus flavolimbatus,USA,2010,1,FALSE,TRUE,FALSE,FALSE,33
Epinephelus morio,USA,2010,1,FALSE,TRUE,FALSE,FALSE,33
Epinephelus morio,USA,2010,0,FALSE,TRUE,FALSE,FALSE,33
Gerres filamentosus,Vietnam,NA,0,FALSE,FALSE,FALSE,TRUE,33
Lenthrinus harak,Fiji,NA,0,FALSE,FALSE,FALSE,TRUE,33
Lethrinus atsinkoni,Fiji,NA,0,FALSE,FALSE,FALSE,TRUE,33
Liza aurata,Greece,NA,0,FALSE,FALSE,FALSE,TRUE,33
Liza ramada,Greece,NA,0,FALSE,FALSE,FALSE,TRUE,33
Liza saliens,Greece,NA,0,FALSE,FALSE,FALSE,TRUE,33
Lutjanid spp,Philippines,NA,0,FALSE,FALSE,FALSE,TRUE,33
Mugil cephalus,Greece,NA,0,FALSE,FALSE,FALSE,TRUE,33
Mugilidae spp.,France,NA,0,FALSE,FALSE,FALSE,TRUE,33
Mullet spp,Netherlands,NA,0,FALSE,FALSE,FALSE,TRUE,33
Mullus barbatus,France,NA,0,FALSE,FALSE,FALSE,TRUE,33
Mullus surmuletus,France,NA,0,FALSE,FALSE,FALSE,TRUE,33
Mycteroperca bonaci,USA,2010,1,FALSE,TRUE,FALSE,FALSE,33
Mycteroperca bonaci,USA,2010,0,FALSE,TRUE,FALSE,FALSE,33
Mycteroperca microlepis,USA,2010,1,FALSE,TRUE,FALSE,FALSE,33
Mycteroperca microlepis,USA,2010,0,FALSE,TRUE,FALSE,FALSE,33
Mycteroperca rosacea,Mexico,NA,0,FALSE,FALSE,FALSE,TRUE,33
Neoplatycephalus richardsoni,Australia,1992,1,FALSE,TRUE,FALSE,FALSE,33
Neoplatycephalus richardsoni,Australia,1992,0,FALSE,TRUE,FALSE,FALSE,33
Normanichthys crockeri,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,33
Ophiodon elongatus,USA,2011,0,FALSE,TRUE,FALSE,FALSE,33
Pagellus spp,France,NA,0,FALSE,FALSE,FALSE,TRUE,33
Pagrus pagrus,France,NA,0,FALSE,FALSE,FALSE,TRUE,33
Paralabrax maculotofasciatum,Mexico,NA,0,FALSE,FALSE,FALSE,TRUE,33
Platycephalus conatus,Australia,1992,1,FALSE,TRUE,FALSE,FALSE,33
Platycephalus conatus,Australia,1992,0,FALSE,TRUE,FALSE,FALSE,33
Pleurogrammus monopterygius,USA,2005,0,FALSE,TRUE,FALSE,FALSE,33
Pleurogrammus monopterygius,USA,2005,1,FALSE,TRUE,FALSE,FALSE,33
Pomacentridae,Philippines,NA,0,FALSE,FALSE,FALSE,TRUE,33
Reef fish,Vanuatu,NA,0,FALSE,FALSE,FALSE,TRUE,33
Sandeel,Japan,NA,0,FALSE,FALSE,FALSE,TRUE,33
Sarpa salpa,France,NA,0,FALSE,FALSE,FALSE,TRUE,33
Sea bass spp,Netherlands,NA,0,FALSE,FALSE,FALSE,TRUE,33
Serranid spp,Philippines,NA,0,FALSE,FALSE,FALSE,TRUE,33
Serranus cabrilla,France,NA,0,FALSE,FALSE,FALSE,TRUE,33
Serranus scriba,France,NA,0,FALSE,FALSE,FALSE,TRUE,33
Serranus spp.,France,NA,0,FALSE,FALSE,FALSE,TRUE,33
Siganus spp,Vietnam,NA,0,FALSE,FALSE,FALSE,TRUE,33
Sillago flindersi,Australia,1992,1,FALSE,TRUE,FALSE,FALSE,33
Sillago flindersi,Australia,1992,0,FALSE,TRUE,FALSE,FALSE,33
Smelt spp,Netherlands,NA,0,FALSE,FALSE,FALSE,TRUE,33
Sparus aurata,France,NA,0,FALSE,FALSE,FALSE,TRUE,33
Sparus aurata,Greece,NA,0,FALSE,FALSE,FALSE,TRUE,33
Spondyliosoma cantharus,France,NA,0,FALSE,FALSE,FALSE,TRUE,33
Sprat spp,Netherlands,NA,0,FALSE,FALSE,FALSE,TRUE,33
Symphodus spp,France,NA,0,FALSE,FALSE,FALSE,TRUE,33
Trachinus spp.,France,NA,0,FALSE,FALSE,FALSE,TRUE,33
Allocyttus niger,New Zealand,1986,0,FALSE,TRUE,FALSE,FALSE,34
Allocyttus niger,New Zealand,1986,1,FALSE,TRUE,FALSE,FALSE,34
Anoplopoma fimbria,USA,2011,1,FALSE,TRUE,FALSE,FALSE,34
Anoplopoma fimbria,USA,1995,1,FALSE,TRUE,FALSE,FALSE,34
Anoplopoma fimbria,USA,2011,0,FALSE,TRUE,FALSE,FALSE,34
Anoplopoma fimbria,USA,1995,0,FALSE,TRUE,FALSE,FALSE,34
Centroberyx gerrardi,Australia,1992,0,FALSE,TRUE,FALSE,FALSE,34
Centroberyx gerrardi,Australia,1992,1,FALSE,TRUE,FALSE,FALSE,34
Conger conger,France,NA,0,FALSE,FALSE,FALSE,TRUE,34
Dissostichus eleginoides,Australia,2006,0,FALSE,TRUE,FALSE,FALSE,34
Dissostichus eleginoides,Australia,2006,1,FALSE,TRUE,FALSE,FALSE,34
Epigonus telescopus,New Zealand,1986,0,FALSE,TRUE,FALSE,FALSE,34
Epigonus telescopus,New Zealand,1986,1,FALSE,TRUE,FALSE,FALSE,34
Genypterus blacodes,New Zealand,1986,0,FALSE,TRUE,FALSE,FALSE,34
Genypterus blacodes,Australia,1992,1,FALSE,TRUE,FALSE,FALSE,34
Genypterus blacodes,New Zealand,1986,1,FALSE,TRUE,FALSE,FALSE,34
Genypterus blacodes,Australia,1992,0,FALSE,TRUE,FALSE,FALSE,34
Hoplostethus atlanticus,Australia,1992,0,FALSE,TRUE,FALSE,FALSE,34
Hoplostethus atlanticus,Australia,1992,1,FALSE,TRUE,FALSE,FALSE,34
Hyperoglyphe antarctica,New Zealand,1986,1,FALSE,TRUE,FALSE,FALSE,34
Hyperoglyphe antarctica,New Zealand,1986,0,FALSE,TRUE,FALSE,FALSE,34
Kathetostoma giganteum,New Zealand,1986,1,FALSE,TRUE,FALSE,FALSE,34
Kathetostoma giganteum,New Zealand,1986,0,FALSE,TRUE,FALSE,FALSE,34
Lopholatilus chamaeleonticeps,USA,2010,1,FALSE,TRUE,FALSE,FALSE,34
Lopholatilus chamaeleonticeps,USA,2009,1,FALSE,TRUE,FALSE,FALSE,34
Lopholatilus chamaeleonticeps,USA,2010,0,FALSE,TRUE,FALSE,FALSE,34
Lopholatilus chamaeleonticeps,USA,2009,0,FALSE,TRUE,FALSE,FALSE,34
Nemadactylus macropterus,Australia,1992,1,FALSE,TRUE,FALSE,FALSE,34
Nemadactylus macropterus,New Zealand,1986,0,FALSE,TRUE,FALSE,FALSE,34
Nemadactylus macropterus,New Zealand,1986,1,FALSE,TRUE,FALSE,FALSE,34
Nemadactylus macropterus,Australia,1992,0,FALSE,TRUE,FALSE,FALSE,34
Pseudocyttus maculatus,New Zealand,1986,1,FALSE,TRUE,FALSE,FALSE,34
Pseudocyttus maculatus,New Zealand,1986,0,FALSE,TRUE,FALSE,FALSE,34
Rexea solandri,New Zealand,1986,0,FALSE,TRUE,FALSE,FALSE,34
Rexea solandri,Australia,1992,0,FALSE,TRUE,FALSE,FALSE,34
Rexea solandri,New Zealand,1986,1,FALSE,TRUE,FALSE,FALSE,34
Rexea solandri,Australia,1992,1,FALSE,TRUE,FALSE,FALSE,34
Scorpaena notata,France,NA,0,FALSE,FALSE,FALSE,TRUE,34
Scorpaena porcus,France,NA,0,FALSE,FALSE,FALSE,TRUE,34
Scorpaena scrofa,France,NA,0,FALSE,FALSE,FALSE,TRUE,34
Scorpaena spp,France,NA,0,FALSE,FALSE,FALSE,TRUE,34
Sebastes aleutianus,USA,2007,0,FALSE,FALSE,FALSE,FALSE,34
Sebastes aleutianus,USA,2007,1,FALSE,FALSE,FALSE,FALSE,34
Sebastes alutus,USA,2005,0,FALSE,TRUE,FALSE,FALSE,34
Sebastes alutus,USA,2007,0,FALSE,FALSE,FALSE,FALSE,34
Sebastes alutus,USA,2011,0,FALSE,TRUE,FALSE,FALSE,34
Sebastes alutus,USA,2005,1,FALSE,TRUE,FALSE,FALSE,34
Sebastes alutus,USA,2011,1,FALSE,TRUE,FALSE,FALSE,34
Sebastes alutus,USA,2007,1,FALSE,FALSE,FALSE,FALSE,34
Sebastes chlorostictus,USA,2011,1,FALSE,TRUE,FALSE,FALSE,34
Sebastes chlorostictus,USA,2011,0,FALSE,TRUE,FALSE,FALSE,34
Sebastes crameri,USA,2011,0,FALSE,TRUE,FALSE,FALSE,34
Sebastes diploproa,USA,2011,0,FALSE,TRUE,FALSE,FALSE,34
Sebastes elongatus,USA,2011,0,FALSE,TRUE,FALSE,FALSE,34
Sebastes elongatus,USA,2011,1,FALSE,TRUE,FALSE,FALSE,34
Sebastes entomelas,USA,2011,0,FALSE,TRUE,FALSE,FALSE,34
Sebastes fasciatus,USA,2010,0,FALSE,FALSE,FALSE,FALSE,34
Sebastes fasciatus,USA,2010,1,FALSE,FALSE,FALSE,FALSE,34
Sebastes flavidus,USA,2011,0,FALSE,TRUE,FALSE,FALSE,34
Sebastes flavidus,USA,2011,1,FALSE,TRUE,FALSE,FALSE,34
Sebastes goodei,USA,2011,0,FALSE,TRUE,FALSE,FALSE,34
Sebastes goodei,USA,2011,1,FALSE,TRUE,FALSE,FALSE,34
Sebastes jordani,USA,2011,0,FALSE,TRUE,FALSE,FALSE,34
Sebastes levis,USA,2011,1,FALSE,TRUE,FALSE,FALSE,34
Sebastes levis,USA,2011,0,FALSE,TRUE,FALSE,FALSE,34
Sebastes melanostomus,USA,2011,1,FALSE,TRUE,FALSE,FALSE,34
Sebastes melanostomus,USA,2011,0,FALSE,TRUE,FALSE,FALSE,34
Sebastes paucispinis,USA,2011,1,FALSE,TRUE,FALSE,FALSE,34
Sebastes paucispinis,USA,2011,0,FALSE,TRUE,FALSE,FALSE,34
Sebastes pinniger,USA,2011,0,FALSE,TRUE,FALSE,FALSE,34
Sebastes pinniger,Canada,1997,0,FALSE,FALSE,TRUE,FALSE,34
Sebastes pinniger,USA,2011,1,FALSE,TRUE,FALSE,FALSE,34
Sebastes pinniger,Canada,1997,1,FALSE,FALSE,TRUE,FALSE,34
Sebastes polyspinis,USA,2007,0,FALSE,FALSE,FALSE,FALSE,34
Sebastes polyspinis,USA,2007,1,FALSE,FALSE,FALSE,FALSE,34
Sebastes ruberrimus,USA,2011,0,FALSE,TRUE,FALSE,FALSE,34
Sebastes rufus,USA,2011,1,FALSE,TRUE,FALSE,FALSE,34
Sebastes rufus,USA,2011,0,FALSE,TRUE,FALSE,FALSE,34
Sebastolobus alascanus,USA,2011,0,FALSE,TRUE,FALSE,FALSE,34
Sebastolobus alascanus,USA,2011,1,FALSE,TRUE,FALSE,FALSE,34
Sebastolobus altivelis,USA,2011,0,FALSE,TRUE,FALSE,FALSE,34
Seriolella brama,Australia,1992,1,FALSE,TRUE,FALSE,FALSE,34
Seriolella brama,Australia,1992,0,FALSE,TRUE,FALSE,FALSE,34
Seriolella punctata,Australia,1992,1,FALSE,TRUE,FALSE,FALSE,34
Seriolella punctata,Australia,1992,0,FALSE,TRUE,FALSE,FALSE,34
Uranoscopus scaber,France,NA,0,FALSE,FALSE,FALSE,TRUE,34
Anchovies spp,Netherlands,NA,0,FALSE,FALSE,FALSE,TRUE,35
Engraulis ringens,Peru,2009,1,FALSE,FALSE,TRUE,FALSE,35
Engraulis ringens,Peru,2009,0,FALSE,FALSE,TRUE,FALSE,35
Opisthonema oglinum,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,35
Sardinops melanostictus,Japan,1949,0,FALSE,FALSE,FALSE,TRUE,35
Sprattus fuegensis,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,35
Atherinidae,Philippines,NA,0,FALSE,FALSE,FALSE,TRUE,37
Brama australis,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,37
Cololabis saira,Japan,1949,0,FALSE,FALSE,FALSE,TRUE,37
Mackerel,Netherlands,NA,0,FALSE,FALSE,FALSE,TRUE,37
Scomber japonicus,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,37
Scomber japonicus,Japan,1949,1,FALSE,FALSE,FALSE,TRUE,37
Seriola quinqueradiata,Japan,1949,0,FALSE,FALSE,FALSE,TRUE,37
Trachurus capensis,South Africa,2005,0,TRUE,FALSE,FALSE,FALSE,37
Trachurus capensis,South Africa,2005,1,TRUE,FALSE,FALSE,FALSE,37
Trachurus japonicus,Japan,1949,1,FALSE,FALSE,FALSE,TRUE,37
Callinectes bellicosus,Mexico,NA,0,FALSE,FALSE,FALSE,TRUE,42
Callinectes sapidus,United States,NA,0,FALSE,FALSE,FALSE,TRUE,42
Cancer coronatus,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,42
Cancer setosus,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,42
Chionoecetes bairdi,USA,2005,1,FALSE,TRUE,FALSE,FALSE,42
Chionoecetes bairdi,USA,2005,0,FALSE,TRUE,FALSE,FALSE,42
Chionoecetes japonicus,Japan,1949,0,FALSE,FALSE,FALSE,TRUE,42
Chionoecetes opilio,USA,2005,1,FALSE,TRUE,FALSE,FALSE,42
Chionoecetes opilio,USA,2005,0,FALSE,TRUE,FALSE,FALSE,42
Chionoecetes opilio,Canada,NA,0,FALSE,FALSE,FALSE,TRUE,42
Homalaspis plana,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,42
Lithodes antarctica,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,42
Metacarcinus magister,United States,NA,0,FALSE,FALSE,FALSE,TRUE,42
Necora puber,Spain,NA,0,FALSE,FALSE,FALSE,TRUE,42
Portunus pelagicus,Vietnam,NA,0,FALSE,FALSE,FALSE,TRUE,42
Portunus sanguinolentus,Vietnam,NA,0,FALSE,FALSE,FALSE,TRUE,42
Pseudocarcinus gigas,Australia,1999,1,FALSE,TRUE,FALSE,FALSE,42
Pseudocarcinus gigas,Australia,1999,0,FALSE,TRUE,FALSE,FALSE,42
Scylla serrata,Vietnam,NA,0,FALSE,FALSE,FALSE,TRUE,42
Jasus edwardsii,New Zealand,1986,1,FALSE,TRUE,FALSE,FALSE,43
Jasus edwardsii,Australia,2003,0,FALSE,TRUE,FALSE,FALSE,43
Jasus edwardsii,New Zealand,1986,0,FALSE,TRUE,FALSE,FALSE,43
Jasus edwardsii,Australia,2003,1,FALSE,TRUE,FALSE,FALSE,43
Panulirus argus,Belize,NA,0,FALSE,FALSE,FALSE,TRUE,43
Panulirus argus,Mexico,1969,0,FALSE,FALSE,FALSE,TRUE,43
Panulirus interruptus,Mexico,1992,0,FALSE,FALSE,FALSE,TRUE,43
Panulirus spp,Belize,NA,0,FALSE,FALSE,FALSE,TRUE,43
Birgus latro,Vanuatu,NA,0,FALSE,FALSE,FALSE,TRUE,44
Paralithodes camtschaticus,USA,2005,1,FALSE,TRUE,FALSE,FALSE,44
Paralithodes camtschaticus,USA,2005,0,FALSE,TRUE,FALSE,FALSE,44
Paralithodes camtschaticus,USA,1992,1,FALSE,FALSE,FALSE,FALSE,44
Paralithodes camtschaticus,USA,1992,0,FALSE,FALSE,FALSE,FALSE,44
Paralithodes platypus,USA,1992,1,FALSE,FALSE,FALSE,FALSE,44
Paralithodes platypus,USA,1992,0,FALSE,FALSE,FALSE,FALSE,44
Paralomis granulosa,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,44
Metapenaeus dobsoni,India,NA,0,FALSE,FALSE,FALSE,TRUE,45
Metapenaeus dobsoni,Sri Lanka,NA,0,FALSE,FALSE,FALSE,TRUE,45
Metapenaeus endeavours,Australia,NA,0,FALSE,FALSE,FALSE,TRUE,45
Metapenaeus ensis,Vietnam,NA,0,FALSE,FALSE,FALSE,TRUE,45
Metapenaeus monoceros,India,NA,0,FALSE,FALSE,FALSE,TRUE,45
Metapenaeus moyebi,Sri Lanka,NA,0,FALSE,FALSE,FALSE,TRUE,45
Palaemon serratus,Spain,NA,0,FALSE,FALSE,FALSE,TRUE,45
Pandalus borealis,Sweden,2004,0,FALSE,FALSE,FALSE,TRUE,45
Penaeus indicus,India,NA,0,FALSE,FALSE,FALSE,TRUE,45
Penaeus indicus,Sri Lanka,NA,0,FALSE,FALSE,FALSE,TRUE,45
Penaeus latisulcatus,Australia,NA,0,FALSE,FALSE,FALSE,TRUE,45
Penaeus monodon,Vietnam,NA,0,FALSE,FALSE,FALSE,TRUE,45
Penaeus monodon,India,NA,0,FALSE,FALSE,FALSE,TRUE,45
Penaeus semisulcatus,Sri Lanka,NA,0,FALSE,FALSE,FALSE,TRUE,45
Penaeus semisulcatus,Vietnam,NA,0,FALSE,FALSE,FALSE,TRUE,45
Sergia lucens,Japan,1949,0,FALSE,FALSE,FALSE,TRUE,45
Austromegabalanus psittacus,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,47
Pollicipes pollicipes,Spain,1992,0,FALSE,FALSE,FALSE,TRUE,47
Adelomelon ancilla,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,52
Argobuccinum argus,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,52
Argobuccinum spp,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,52
Chorus giganteus,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,52
Concholepas concholepas,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,52
Fissurella spp,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,52
Haliotis corrugata,Mexico,1992,0,FALSE,FALSE,FALSE,TRUE,52
Haliotis discus,Japan,NA,0,FALSE,FALSE,FALSE,TRUE,52
Haliotis fulgens,Mexico,1992,0,FALSE,FALSE,FALSE,TRUE,52
Haliotis ruber,Japan,NA,0,FALSE,FALSE,FALSE,TRUE,52
Haliotis rufescens,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,52
Haliotis spp,Japan,1949,0,FALSE,FALSE,FALSE,TRUE,52
Lambis lambis,Fiji,NA,0,FALSE,FALSE,FALSE,TRUE,52
Thais chocolata,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,52
Trophon spp,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,52
Crassostrea gigas,United Kingdom,NA,0,FALSE,FALSE,FALSE,TRUE,53
Japanese oysters,Netherlands,NA,0,FALSE,FALSE,FALSE,TRUE,53
Ostrea edulis,United Kingdom,NA,0,FALSE,FALSE,FALSE,TRUE,53
Oyster spp,United Kingdom,NA,0,FALSE,FALSE,FALSE,TRUE,53
Oyster spp,United States,NA,0,FALSE,FALSE,FALSE,TRUE,53
Spondylus calcifer,Mexico,NA,0,FALSE,FALSE,FALSE,TRUE,53
Aulacomya ater,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,54
Choromytilus chorus,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,54
Mytilus chilensis,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,54
Mytilus edulis,United Kingdom,NA,0,FALSE,FALSE,FALSE,TRUE,54
Perna perna,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,54
Argopecten purpuratus,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,55
Atrina tuberculosa,Mexico,1976,0,FALSE,FALSE,FALSE,TRUE,55
Chlamys vitrea,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,55
Pecten maximus,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,55
Pinna rugosa,Mexico,1976,0,FALSE,FALSE,FALSE,TRUE,55
Scallop spp,United Kingdom,NA,0,FALSE,FALSE,FALSE,TRUE,55
Anadara antiquat,Fiji,NA,0,FALSE,FALSE,FALSE,TRUE,56
Anadara similis,Ecuador,NA,0,FALSE,FALSE,FALSE,TRUE,56
Anadara tuberculos,Ecuador,NA,0,FALSE,FALSE,FALSE,TRUE,56
Callista chione,Italy,1996,0,FALSE,FALSE,FALSE,TRUE,56
Chamelea gallina,Italy,1996,0,FALSE,FALSE,FALSE,TRUE,56
Clam spp,Netherlands,NA,0,FALSE,FALSE,FALSE,TRUE,56
Clam spp,United States,NA,0,FALSE,FALSE,FALSE,TRUE,56
Clam spp,Japan,NA,0,FALSE,FALSE,FALSE,TRUE,56
Clamshell spp,Vanuatu,NA,0,FALSE,FALSE,FALSE,TRUE,56
Donax trunculus,Italy,1996,0,FALSE,FALSE,FALSE,TRUE,56
Ensis macha,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,56
Gari solida,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,56
Meretrix lyrata,Vietnam,NA,0,FALSE,FALSE,FALSE,TRUE,56
Meretrix lusoria,Japan,NA,0,FALSE,FALSE,FALSE,TRUE,56
Meretrix lyrata,Vietnam,1997,0,FALSE,FALSE,FALSE,TRUE,56
Mesodesma donacium,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,56
Mulinia edulis,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,56
Mulinia spp,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,56
Panopea generosa,United States,NA,0,FALSE,FALSE,FALSE,TRUE,56
Protothaca thaca,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,56
Pseudocardium sachalinense,Japan,NA,0,FALSE,FALSE,FALSE,TRUE,56
Razor clams,Netherlands,NA,0,FALSE,FALSE,FALSE,TRUE,56
Semele solida,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,56
Spisula solidissima,USA,1990,0,FALSE,TRUE,FALSE,FALSE,56
Spisula solidissima,USA,1990,1,FALSE,TRUE,FALSE,FALSE,56
Tagelus dombeii,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,56
Tapes decussatus,Italy,1996,0,FALSE,FALSE,FALSE,TRUE,56
Venerupis aurea,Italy,1996,0,FALSE,FALSE,FALSE,TRUE,56
Venus antiqua,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,56
Venus verrucosa,Italy,1996,0,FALSE,FALSE,FALSE,TRUE,56
Ensis minor,Italy,1996,0,FALSE,FALSE,FALSE,TRUE,57
Enteroctopus megalocyathus,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,57
Octopus mimus,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,57
Octopus spp,Vanuatu,NA,0,FALSE,FALSE,FALSE,TRUE,57
Octopus vulgaris,Spain,NA,0,FALSE,FALSE,FALSE,TRUE,57
Sepia bertheloti,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,57
Sepia officinalis,France,NA,0,FALSE,FALSE,FALSE,TRUE,57
Todarodes pacificus,Japan,1949,0,FALSE,FALSE,FALSE,TRUE,57
