Country,current_gdp
Tanzania,2945.877987
Uganda,1863.835106
Ukraine,8666.896534
Upper middle income,17774.39517
Uruguay,22562.46183
United States,59531.66196
Uzbekistan,6864.999587
St. Vincent and the Grenadines,11776.84795
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,6775.832191
Vanuatu,3207.831231
World,16940.79202
Samoa,6610.795239
Kosovo,10754.40217
"Yemen, Rep.",
South Africa,13497.9878
Zambia,4050.261432
Zimbabwe,2085.676925
